city_name,ref_year,metabolite_name,daily_mean_concentration,nuts_code,gdp
Dortmund,2018,cocaine,379.08,DEA52,24417700000.0
Zagreb,2014,amphetamine,15.65,HR050,15008590000.0
Aarhus,2024,ketamine,3.4,DK042,51837470000.0
Milan,2022,cannabis,53.33,ITC4C,214395430000.0
Krakow P,2017,MDMA,7.41,PL213,15384880000.0
Region Millstättersee,2022,cocaine,110.57,AT212,4418320000.0
Eindhoven,2023,methamphetamine,29.95,NL414,58734250000.0
Prague (2),2021,cocaine,239.83,CZ010,66697280000.0
Rovaniemi,2020,cocaine,3.24,FI1D7,6771740000.0
Kaunas,2022,cocaine,146.44,LT022,13638000000.0
Eindhoven,2011,cocaine,437.42,NL414,31160030000.0
Milan,2022,cocaine,390.11,ITC4C,214395430000.0
Chemnitz,2018,amphetamine,19.45,DE144,10154910000.0
Antwerp Zuid,2022,MDMA,134.12,BE211,62626500000.0
Basel,2022,MDMA,21.68,CH033,49305720000.0
Klaipeda,2021,cocaine,108.86,LT023,5948860000.0
Wasserverband Hofsteig,2023,MDMA,5.6,AT342,16220270000.0
Antwerp Zuid,2021,amphetamine,426.1,BE211,55989620000.0
Helsinki,2024,MDMA,35.19,FI1B1,108495710000.0
Munich G,2018,MDMA,21.07,DE212,121236970000.0
Steyr,2022,cocaine,81.8,AT314,7535690000.0
Luxembourg,2024,amphetamine,8.05,LU000,86180280000.0
Klaipeda,2023,cocaine,92.15,LT023,7655210000.0
St. Gallen Hofen,2021,amphetamine,129.98,CH055,40261870000.0
Vilnius,2021,MDMA,19.38,LT011,24528170000.0
Innsbruck,2022,cannabis,83.61,AT332,16374560000.0
Copenhagen,2015,amphetamine,14.68,DK011,50731080000.0
Geneva,2012,MDMA,10.15,CH013,41694310000.0
Purgstall,2019,cannabis,30.6,AT121,8855510000.0
Basel,2012,MDMA,14.61,CH033,33910390000.0
Aarhus,2024,MDMA,12.33,DK042,51837470000.0
Castellon,2013,amphetamine,8.6,ES522,12619800000.0
Nuremberg,2022,amphetamine,61.04,DE254,35726290000.0
Turku,2020,MDMA,36.31,FI1C1,19095720000.0
Stockholm (2),2016,amphetamine,208.84,SE110,146144810000.0
Stockholm (2),2019,cocaine,211.23,SE110,150229780000.0
Ninove,2014,MDMA,15.82,BE236,7727840000.0
Barcelona,2015,cocaine,443.56,ES511,151999300000.0
Istanbul (II-VII),2021,cannabis,24.47,TR100,208912620000.0
Chemnitz,2022,MDMA,7.34,DE144,12013020000.0
Chemnitz,2017,MDMA,9.68,DE144,9733390000.0
Kufstein,2021,MDMA,3.07,AT335,12023230000.0
Novi Sad,2020,methamphetamine,0.0,RS123,4849430000.0
Chemnitz,2017,methamphetamine,240.57,DE144,9733390000.0
Porto,2021,cocaine,237.8,PT11A,35279660000.0
Oostende,2015,amphetamine,176.58,BE255,4291920000.0
Karlovy Vary,2023,amphetamine,50.44,CZ041,5287950000.0
Vilnius,2024,cocaine,169.07,LT011,36173710000.0
Nicosia (2),2024,cocaine,43.54,CY000,34770170000.0
Gothenburg,2013,cannabis,0.0,SE232,72620920000.0
Gothenburg,2012,cannabis,0.0,SE232,70430000000.0
Novo mesto,2024,amphetamine,9.82,SI037,4274120000.0
Innsbruck,2023,cannabis,84.29,AT332,17693930000.0
Klagenfurt,2023,cocaine,189.29,AT211,16746340000.0
Amsterdam,2022,methamphetamine,39.96,NL321,14221820000.0
Velenje,2021,amphetamine,84.66,SI034,5616580000.0
Prague (2),2013,cocaine,51.45,CZ010,41777870000.0
Munich G,2020,methamphetamine,9.3,DE212,122791920000.0
Vilnius,2019,cocaine,75.56,LT011,20916900000.0
Kufstein,2022,cannabis,104.54,AT335,13992460000.0
Istanbul (II-VII),2022,amphetamine,13.37,TR100,261252960000.0
Velenje,2020,methamphetamine,0.97,SI034,5051070000.0
Dortmund,2022,methamphetamine,3.22,DEA52,27737670000.0
Barcelona,2018,MDMA,46.77,ES511,173436300000.0
Uppsala,2021,methamphetamine,2.54,SE121,19015990000.0
Aarhus,2023,methamphetamine,1.81,DK042,50159540000.0
Kaunas,2024,MDMA,12.42,LT022,15855970000.0
Basel,2021,MDMA,17.65,CH033,42905650000.0
Ljubljana,2022,cannabis,79.95,SI041,21835400000.0
Wien,2022,MDMA,18.19,AT130,110821730000.0
Erfurt,2018,amphetamine,39.76,DEG01,8692610000.0
Cluj Napoca,2013,cannabis,0.0,RO114,2273570000.0
Bordeaux I,2016,amphetamine,0.0,FRI12,52566600000.0
Bordeaux I,2017,amphetamine,0.0,FRI12,54696700000.0
Bordeaux I,2018,amphetamine,0.0,FRI12,57229600000.0
Brussels,2019,methamphetamine,9.83,BE100,87369660000.0
Bordeaux I,2019,amphetamine,0.0,FRI12,58972200000.0
Salzburg,2023,methamphetamine,3.1,AT323,25463730000.0
Castellon,2018,MDMA,2.85,ES522,15685300000.0
Aalborg,2024,ketamine,30.39,DK014,1684400000.0
Brussels,2020,methamphetamine,11.39,BE100,83321850000.0
Geneva,2019,cocaine,676.89,CH013,50083790000.0
Novo mesto,2022,ketamine,0.0,SI037,3706990000.0
Novo mesto,2023,ketamine,0.0,SI037,4009180000.0
Brussels,2015,MDMA,21.95,BE100,78053560000.0
Pori,2020,amphetamine,78.45,FI196,8002590000.0
