city,year,metabolite_name,daily_mean_concentration
Antwerp Zuid,2016,mdma,98.29
Antwerp Zuid,2016,amphetamine,199.27
Antwerp Zuid,2016,cocaine,914.79
Antwerp Zuid,2016,methamphetamine,9.25
Antwerp Zuid,2017,mdma,95.29
Antwerp Zuid,2017,amphetamine,268.75
Antwerp Zuid,2017,cocaine,822.93
Antwerp Zuid,2017,methamphetamine,22.32
Antwerp Zuid,2018,amphetamine,181.44
Antwerp Zuid,2018,cocaine,771.79
Antwerp Zuid,2018,methamphetamine,17.5
Antwerp Zuid,2019,mdma,119.24
Antwerp Zuid,2019,amphetamine,302.02
Antwerp Zuid,2019,cocaine,1275.66
Antwerp Zuid,2019,methamphetamine,28.98
Antwerp Zuid,2020,mdma,79.38
Antwerp Zuid,2020,amphetamine,346.74
Antwerp Zuid,2020,cocaine,1174.88
Antwerp Zuid,2020,methamphetamine,39.01
Antwerp Zuid,2021,mdma,92.46
Antwerp Zuid,2021,amphetamine,426.1
Antwerp Zuid,2021,cocaine,1581.88
Antwerp Zuid,2021,methamphetamine,92.49
Antwerp Zuid,2022,mdma,134.12
Antwerp Zuid,2022,amphetamine,524.99
Antwerp Zuid,2022,cocaine,2381.39
Antwerp Zuid,2022,methamphetamine,51.87
Antwerp Zuid,2023,mdma,318.23
Antwerp Zuid,2023,amphetamine,391.42
Antwerp Zuid,2023,cocaine,1721.58
Antwerp Zuid,2023,methamphetamine,44.4
Antwerp Zuid,2023,ketamine,88.47
Antwerp Zuid,2024,mdma,140.31
Antwerp Zuid,2024,amphetamine,376.09
Antwerp Zuid,2024,cocaine,1996.98
Antwerp Zuid,2024,methamphetamine,93.94
Antwerp Zuid,2024,ketamine,71.46
Athens,2013,mdma,2.46
Athens,2013,amphetamine,16.05
Athens,2013,cannabis,103.56
Athens,2013,cocaine,59.21
Athens,2013,methamphetamine,4.76
Athens,2014,mdma,4.4
Athens,2014,amphetamine,16.84
Athens,2014,cocaine,80.06
Athens,2014,methamphetamine,5.3
Athens,2015,mdma,3.43
Athens,2015,amphetamine,10.43
Athens,2015,cocaine,63.03
Athens,2015,methamphetamine,4.4
Athens,2016,mdma,2.53
Athens,2016,amphetamine,4.61
Athens,2016,cocaine,30.41
Athens,2016,methamphetamine,2.97
Athens,2017,mdma,2.49
Athens,2017,amphetamine,2.24
Athens,2017,cocaine,38.28
Athens,2017,methamphetamine,3.98
Athens,2018,mdma,4.7
Athens,2018,amphetamine,8.64
Athens,2018,cannabis,50.85
Athens,2019,mdma,6.36
Athens,2019,cannabis,52.56
Athens,2019,cocaine,55.91
Athens,2019,methamphetamine,11.32
Athens,2020,cannabis,41.56
Athens,2020,methamphetamine,18.31
Athens,2021,mdma,3.38
Athens,2021,amphetamine,12.13
Athens,2021,cannabis,38.73
Athens,2021,cocaine,95.85
Athens,2021,methamphetamine,10.61
Athens,2022,mdma,2.39
Athens,2022,amphetamine,4.93
Athens,2022,cocaine,103.99
Athens,2022,ketamine,0
Athens,2023,mdma,3.97
Athens,2023,cocaine,133.39
Athens,2023,ketamine,0
Athens,2024,mdma,7.77
Athens,2024,amphetamine,12.98
Athens,2024,cannabis,36.9
Athens,2024,cocaine,181.21
Athens,2024,methamphetamine,20.35
Athens,2024,ketamine,0
Barcelona,2011,mdma,18.73
Barcelona,2011,amphetamine,15.41
Barcelona,2011,cannabis,108.63
Barcelona,2011,cocaine,421.68
Barcelona,2011,methamphetamine,8.43
Barcelona,2012,mdma,27.62
Barcelona,2012,amphetamine,13.37
Barcelona,2012,cannabis,78.52
Barcelona,2012,cocaine,400.59
Barcelona,2012,methamphetamine,26.55
Barcelona,2013,mdma,31.41
Barcelona,2013,amphetamine,21.11
Barcelona,2013,cannabis,126.09
Barcelona,2013,cocaine,537.98
Barcelona,2013,methamphetamine,26.51
Barcelona,2014,mdma,30.35
Barcelona,2014,amphetamine,29.79
Barcelona,2014,cocaine,461.1
Barcelona,2014,methamphetamine,22.15
Barcelona,2015,mdma,33.82
Barcelona,2015,amphetamine,30.25
Barcelona,2015,cocaine,443.56
Barcelona,2015,methamphetamine,33.38
Barcelona,2016,mdma,46.79
Barcelona,2016,amphetamine,45.64
Barcelona,2016,cocaine,699.1
Barcelona,2016,methamphetamine,24.05
Barcelona,2017,mdma,48.06
Barcelona,2017,amphetamine,42.32
Barcelona,2017,cocaine,965.19
Barcelona,2017,methamphetamine,48.95
Barcelona,2018,mdma,46.77
Barcelona,2018,amphetamine,35.2
Barcelona,2018,cannabis,230.82
Barcelona,2018,cocaine,733.19
Barcelona,2018,methamphetamine,47.88
Barcelona,2019,mdma,54.76
Barcelona,2019,amphetamine,32.27
Barcelona,2019,cannabis,149.76
Barcelona,2019,cocaine,700.3
Barcelona,2019,methamphetamine,106.83
Barcelona,2021,mdma,25.43
Barcelona,2021,amphetamine,29.42
Barcelona,2021,cocaine,665.38
