,Year,Metabolite,Site ID,Country_x,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean,nuts_code,GEO (Codes),GEO (Labels),GDP (M EUR),Country_y
77,2024,amphetamine,PT003,PT,Porto,11.72,12.32,13.42,10.95,9.24,8.49,10.62,11.55,10.53,10.97,PT11A,PT11A,Área Metropolitana do Porto,46966.66,PT
78,2024,amphetamine,RO001,RO,Bucharest,2.69,5.1,4.6,5.47,7.3,7.49,2.14,3.31,6.21,4.97,RO321,RO321,Bucureşti,94002.78,RO
79,2024,amphetamine,SE003,SE,Karlstad,322.17,357.57,352.07,355.02,383.09,368.49,428.18,369.31,364.67,366.66,SE313,SE313,Gävleborgs län,10971.02,SE
80,2024,amphetamine,SE005,SE,Stockholm (2),372.91,356.23,374.07,343.73,382.59,375.66,331.62,353.59,369.01,362.4,SE110,SE110,Stockholms län,179239.89,SE
81,2024,amphetamine,SI002,SI,Koper,19.22,18.0,10.68,11.41,13.5,10.88,12.04,16.42,11.62,13.68,SI044,SI044,Obalno-kraška,3453.46,SI
82,2024,amphetamine,SI003,SI,Kranj,9.14,12.68,13.07,62.26,21.14,13.19,12.7,11.5,27.41,20.6,SI042,SI042,Gorenjska,5559.74,SI
83,2024,amphetamine,SI004,SI,Ljubljana,21.39,22.19,21.32,35.12,26.94,22.55,29.1,24.23,26.48,25.51,SI041,SI041,Osrednjeslovenska,26920.69,SI
84,2024,amphetamine,SI005,SI,Maribor,20.56,22.34,26.43,51.67,65.73,28.91,11.92,18.27,43.18,32.51,SI032,SI032,Podravska,8635.78,SI
85,2024,amphetamine,SI007,SI,Novo mesto,9.0,6.11,7.33,6.94,10.33,20.08,8.93,8.02,11.17,9.82,SI037,SI037,Jugovzhodna Slovenija,4274.12,SI
86,2024,amphetamine,SI008,SI,Velenje,55.96,55.84,56.75,54.64,62.59,63.83,58.33,56.71,59.45,58.28,SI034,SI034,Savinjska,7108.66,SI
87,2024,amphetamine,SK002,SK,Bratislava C,10.62,15.05,15.87,11.83,11.91,14.53,7.45,11.04,13.53,12.47,SK010,SK010,Bratislavský kraj,36496.5,SK
88,2024,amphetamine,SK004,SK,Piestany,7.04,4.29,8.8,5.51,8.01,11.84,7.88,6.4,8.54,7.62,SK021,SK021,Trnavský kraj,14997.09,SK
89,2024,amphetamine,TR002,TR,Ankara,8.01,5.97,5.83,5.92,6.88,7.23,7.28,7.09,6.46,6.73,TR510,TR510,Ankara,131357.81,TR
90,2024,amphetamine,TR004,TR,Istanbul (II-VII),6.56,6.0,5.2,4.98,5.92,6.54,6.1,6.22,5.66,5.9,TR100,TR100,İstanbul,365742.18,TR
